c=10, Q=0.8, p=0, n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 68786, Time: 21.88 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 76212, Time: 26.64 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 77644, Time: 27.48 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 78975, Time: 28.60 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 80620, Time: 29.37 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 81396, Time: 30.51 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 69177, Time: 21.66 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 70278, Time: 22.37 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 72355, Time: 23.51 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 73541, Time: 24.83 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 75794, Time: 25.51 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 76060, Time: 26.58 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 77623, Time: 27.38 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 79179, Time: 28.39 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 80289, Time: 29.08 seconds
c=10, Q=0.8, p=0.3, n=1000, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 81662, Time: 30.06 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 69041, Time: 21.37 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 70827, Time: 22.37 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 72175, Time: 23.37 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 73752, Time: 24.46 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 75392, Time: 25.38 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 76521, Time: 26.00 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 77957, Time: 27.25 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 79088, Time: 28.24 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 80167, Time: 29.10 seconds
c=10, Q=0.8, p=0.5, n=1000, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 81570, Time: 30.17 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 69202, Time: 21.59 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 70461, Time: 22.42 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 73050, Time: 23.63 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 73382, Time: 24.24 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 74478, Time: 25.25 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 76548, Time: 26.23 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 77887, Time: 27.33 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 78870, Time: 28.06 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 80054, Time: 28.81 seconds
c=10, Q=0.8, p=0.7, n=1000, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 81317, Time: 30.04 seconds
