c=10, Q=0.8, p=0.7, n=500, m/n=6.0, WalkSAT Success: 100.0%, Total Flips: 61227, Time: 31.26 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.0, WalkSAT Success: 100.0%, Total Flips: 55963, Time: 28.01 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.1, WalkSAT Success: 100.0%, Total Flips: 61126, Time: 31.81 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.198, WalkSAT Success: 100.0%, Total Flips: 70104, Time: 36.53 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.298, WalkSAT Success: 100.0%, Total Flips: 75456, Time: 40.33 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.398, WalkSAT Success: 100.0%, Total Flips: 85894, Time: 45.04 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.5, WalkSAT Success: 99.0%, Total Flips: 128459, Time: 36.48 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.6, WalkSAT Success: 96.0%, Total Flips: 160722, Time: 44.44 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.698, WalkSAT Success: 95.0%, Total Flips: 215397, Time: 58.02 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.798, WalkSAT Success: 72.0%, Total Flips: 287192, Time: 76.74 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.898, WalkSAT Success: 62.0%, Total Flips: 351046, Time: 93.58 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.998, WalkSAT Success: 38.0%, Total Flips: 410981, Time: 109.78 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.098, WalkSAT Success: 28.0%, Total Flips: 425969, Time: 115.75 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.198, WalkSAT Success: 15.0%, Total Flips: 468607, Time: 128.40 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.298, WalkSAT Success: 11.0%, Total Flips: 480228, Time: 132.98 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.398, WalkSAT Success: 5.0%, Total Flips: 481491, Time: 135.00 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.5, WalkSAT Success: 1.0%, Total Flips: 497495, Time: 259.49 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.6, WalkSAT Success: 3.0%, Total Flips: 495413, Time: 269.44 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.698, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 278.00 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.0, WalkSAT Success: 100.0%, Total Flips: 50654, Time: 28.83 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.1, WalkSAT Success: 100.0%, Total Flips: 54314, Time: 28.08 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.198, WalkSAT Success: 100.0%, Total Flips: 56229, Time: 29.24 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.298, WalkSAT Success: 100.0%, Total Flips: 68084, Time: 36.88 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.398, WalkSAT Success: 100.0%, Total Flips: 85906, Time: 44.19 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.5, WalkSAT Success: 100.0%, Total Flips: 95549, Time: 28.37 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.6, WalkSAT Success: 99.0%, Total Flips: 132428, Time: 37.74 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.698, WalkSAT Success: 99.0%, Total Flips: 153877, Time: 43.42 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.798, WalkSAT Success: 93.0%, Total Flips: 226456, Time: 62.43 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.898, WalkSAT Success: 79.0%, Total Flips: 291665, Time: 79.52 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=6.998, WalkSAT Success: 63.0%, Total Flips: 329290, Time: 91.51 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=7.098, WalkSAT Success: 42.0%, Total Flips: 392430, Time: 110.72 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=7.198, WalkSAT Success: 34.0%, Total Flips: 423994, Time: 11631.53 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=7.298, WalkSAT Success: 12.0%, Total Flips: 475616, Time: 191.84 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=7.398, WalkSAT Success: 12.0%, Total Flips: 469102, Time: 196.61 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=7.5, WalkSAT Success: 6.0%, Total Flips: 487346, Time: 289.01 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=7.6, WalkSAT Success: 4.0%, Total Flips: 490922, Time: 267.38 seconds
c=30, Q=0.8, p=0.7, n=500, m/n=7.698, WalkSAT Success: 2.0%, Total Flips: 493496, Time: 274.38 seconds
