n=50, m/n=3.5, GSAT Success: 100.0%, Total Flips: 3333, Time: 2.94 seconds
n=250, m/n=5.1, GSAT Success: 50.0%, Total Flips: 132903, Time: 69.39 seconds
n=250, m/n=5.2, GSAT Success: 41.0%, Total Flips: 156161, Time: 79.12 seconds
n=250, m/n=5.3, GSAT Success: 43.0%, Total Flips: 149498, Time: 79.60 seconds
n=250, m/n=5.4, GSAT Success: 40.0%, Total Flips: 155064, Time: 77.57 seconds
n=500, m/n=3.5, GSAT Success: 22.0%, Total Flips: 198925, Time: 128.85 seconds
n=500, m/n=3.6, GSAT Success: 23.0%, Total Flips: 196446, Time: 127.76 seconds
n=500, m/n=3.7, GSAT Success: 18.0%, Total Flips: 207570, Time: 139.38 seconds
n=500, m/n=3.8, GSAT Success: 14.0%, Total Flips: 216951, Time: 143.36 seconds
n=500, m/n=3.9, GSAT Success: 21.0%, Total Flips: 199999, Time: 143.61 seconds
n=500, m/n=4.0, GSAT Success: 16.0%, Total Flips: 213107, Time: 151.85 seconds
n=500, m/n=4.1, GSAT Success: 16.0%, Total Flips: 212867, Time: 152.88 seconds
n=500, m/n=4.2, GSAT Success: 20.0%, Total Flips: 203325, Time: 149.57 seconds
n=500, m/n=4.3, GSAT Success: 19.0%, Total Flips: 206925, Time: 154.62 seconds
n=500, m/n=4.4, GSAT Success: 13.0%, Total Flips: 219526, Time: 159.03 seconds
n=500, m/n=4.5, GSAT Success: 25.0%, Total Flips: 191571, Time: 150.25 seconds
n=500, m/n=4.6, GSAT Success: 14.0%, Total Flips: 216355, Time: 162.82 seconds
n=500, m/n=4.7, GSAT Success: 14.0%, Total Flips: 217672, Time: 168.88 seconds
n=500, m/n=4.8, GSAT Success: 16.0%, Total Flips: 213217, Time: 168.59 seconds
n=500, m/n=4.9, GSAT Success: 19.0%, Total Flips: 205217, Time: 166.57 seconds
n=500, m/n=5.0, GSAT Success: 18.0%, Total Flips: 207948, Time: 172.97 seconds
n=500, m/n=5.1, GSAT Success: 12.0%, Total Flips: 221717, Time: 180.50 seconds
n=500, m/n=5.2, GSAT Success: 11.0%, Total Flips: 223745, Time: 182.81 seconds
n=500, m/n=5.3, GSAT Success: 15.0%, Total Flips: 214276, Time: 182.74 seconds
n=500, m/n=5.4, GSAT Success: 8.0%, Total Flips: 231941, Time: 196.25 seconds
n=1000, m/n=3.5, GSAT Success: 9.0%, Total Flips: 228618, Time: 279.22 seconds
n=1000, m/n=3.6, GSAT Success: 6.0%, Total Flips: 236076, Time: 294.20 seconds
n=1000, m/n=3.7, GSAT Success: 5.0%, Total Flips: 238124, Time: 306.40 seconds
n=1000, m/n=3.8, GSAT Success: 8.0%, Total Flips: 230782, Time: 297.59 seconds
n=1000, m/n=3.9, GSAT Success: 2.0%, Total Flips: 245600, Time: 320.85 seconds
n=1000, m/n=4.0, GSAT Success: 7.0%, Total Flips: 233452, Time: 314.10 seconds
n=1000, m/n=4.1, GSAT Success: 9.0%, Total Flips: 228727, Time: 318.68 seconds
n=1000, m/n=4.2, GSAT Success: 6.0%, Total Flips: 236211, Time: 332.81 seconds
n=1000, m/n=4.3, GSAT Success: 7.0%, Total Flips: 233800, Time: 340.87 seconds
n=1000, m/n=4.4, GSAT Success: 4.0%, Total Flips: 240410, Time: 351.50 seconds
n=1000, m/n=4.5, GSAT Success: 2.0%, Total Flips: 245291, Time: 370.49 seconds
n=1000, m/n=4.6, GSAT Success: 3.0%, Total Flips: 243095, Time: 377.81 seconds
n=1000, m/n=4.7, GSAT Success: 2.0%, Total Flips: 245214, Time: 379.33 seconds
n=1000, m/n=4.8, GSAT Success: 7.0%, Total Flips: 233474, Time: 371.66 seconds
n=1000, m/n=4.9, GSAT Success: 3.0%, Total Flips: 242915, Time: 387.82 seconds
n=1000, m/n=5.0, GSAT Success: 3.0%, Total Flips: 243073, Time: 423.32 seconds
n=1000, m/n=5.1, GSAT Success: 3.0%, Total Flips: 243138, Time: 459.24 seconds
n=1000, m/n=5.2, GSAT Success: 3.0%, Total Flips: 243080, Time: 436.96 seconds
n=1000, m/n=5.3, GSAT Success: 2.0%, Total Flips: 245210, Time: 441.33 seconds
n=1000, m/n=5.4, GSAT Success: 1.0%, Total Flips: 247725, Time: 452.53 seconds
